"","Significant"
"rail_69398","rail_69398"
"rail_64632","rail_64632"
"rail_66849","rail_66849"
"rail_71069","rail_71069"
"rail_61122","rail_61122"
"rail_62775","rail_62775"
"rail_66005","rail_66005"
"rail_60244","rail_60244"
"rail_59977","rail_59977"
"rail_60758","rail_60758"
"rail_60258","rail_60258"
"rail_61345","rail_61345"
"rail_61967","rail_61967"
"rail_62146","rail_62146"
"rail_62209","rail_62209"
"rail_65388","rail_65388"
"rail_66832","rail_66832"
"rail_67266","rail_67266"
"rail_68003","rail_68003"
"rail_70989","rail_70989"
"rail_61472","rail_61472"
"rail_65847","rail_65847"
"rail_70335","rail_70335"
"rail_65764","rail_65764"
"rail_65956","rail_65956"
"rail_70726","rail_70726"
"rail_61564","rail_61564"
"rail_61880","rail_61880"
"rail_61943","rail_61943"
"rail_65444","rail_65444"
"rail_70675","rail_70675"
"rail_70820","rail_70820"
"rail_61751","rail_61751"
"rail_64385","rail_64385"
"rail_66439","rail_66439"
"rail_69840","rail_69840"
"rail_60202","rail_60202"
"rail_63592","rail_63592"
"rail_63971","rail_63971"
"rail_64299","rail_64299"
"rail_65378","rail_65378"
"rail_66653","rail_66653"
"rail_69469","rail_69469"
"rail_67101","rail_67101"
"rail_64534","rail_64534"
"rail_65673","rail_65673"
"rail_60580","rail_60580"
"rail_62612","rail_62612"
"rail_70219","rail_70219"
"rail_62319","rail_62319"
"rail_65885","rail_65885"
"rail_66943","rail_66943"
"rail_60526","rail_60526"
"rail_62248","rail_62248"
"rail_62479","rail_62479"
"rail_62878","rail_62878"
"rail_63361","rail_63361"
"rail_63610","rail_63610"
"rail_64201","rail_64201"
"rail_65284","rail_65284"
"rail_65442","rail_65442"
"rail_66126","rail_66126"
"rail_68381","rail_68381"
"rail_68999","rail_68999"
"rail_69209","rail_69209"
"rail_70149","rail_70149"
"rail_70169","rail_70169"
"rail_60880","rail_60880"
"rail_61155","rail_61155"
"rail_63303","rail_63303"
"rail_64422","rail_64422"
"rail_65993","rail_65993"
"rail_67534","rail_67534"
"rail_60398","rail_60398"
"rail_60561","rail_60561"
"rail_60714","rail_60714"
"rail_60847","rail_60847"
"rail_61347","rail_61347"
"rail_624791","rail_62479"
"rail_62720","rail_62720"
"rail_63470","rail_63470"
"rail_64888","rail_64888"
"rail_65423","rail_65423"
"rail_65876","rail_65876"
"rail_65938","rail_65938"
"rail_66481","rail_66481"
"rail_67319","rail_67319"
"rail_67340","rail_67340"
"rail_68308","rail_68308"
"rail_69048","rail_69048"
"rail_69808","rail_69808"
"rail_69814","rail_69814"
"rail_70426","rail_70426"
"rail_71082","rail_71082"
"rail_59763","rail_59763"
"rail_64235","rail_64235"
"rail_66593","rail_66593"
"rail_66856","rail_66856"
"rail_67802","rail_67802"
"rail_698401","rail_69840"
"rail_70667","rail_70667"
"rail_59996","rail_59996"
"rail_66200","rail_66200"
"rail_67968","rail_67968"
"rail_68357","rail_68357"
"rail_70889","rail_70889"
"rail_61053","rail_61053"
"rail_64560","rail_64560"
"rail_65533","rail_65533"
"rail_66282","rail_66282"
"rail_66910","rail_66910"
"rail_70659","rail_70659"
"rail_70767","rail_70767"
"rail_59986","rail_59986"
"rail_61887","rail_61887"
"rail_62941","rail_62941"
"rail_63934","rail_63934"
"rail_71064","rail_71064"
"rail_63654","rail_63654"
"rail_69591","rail_69591"
"rail_59767","rail_59767"
"rail_65022","rail_65022"
"rail_68154","rail_68154"
"rail_60364","rail_60364"
"rail_61863","rail_61863"
"rail_63711","rail_63711"
"rail_64177","rail_64177"
"rail_65088","rail_65088"
"rail_65681","rail_65681"
"rail_69954","rail_69954"
"rail_60969","rail_60969"
"rail_61771","rail_61771"
"rail_62604","rail_62604"
"rail_64773","rail_64773"
"rail_65164","rail_65164"
"rail_66014","rail_66014"
"rail_67233","rail_67233"
"rail_67741","rail_67741"
"rail_68288","rail_68288"
"rail_68831","rail_68831"
"rail_69532","rail_69532"
"rail_70732","rail_70732"
"rail_70834","rail_70834"
"rail_71004","rail_71004"
"rail_59936","rail_59936"
"rail_63097","rail_63097"
"rail_668561","rail_66856"
"rail_67826","rail_67826"
"rail_67882","rail_67882"
"rail_68009","rail_68009"
"rail_69844","rail_69844"
"rail_64369","rail_64369"
"rail_66646","rail_66646"
"rail_68001","rail_68001"
"rail_63684","rail_63684"
"rail_67065","rail_67065"
"rail_67090","rail_67090"
"rail_69114","rail_69114"
"rail_69924","rail_69924"
"rail_70878","rail_70878"
"rail_62484","rail_62484"
"rail_63817","rail_63817"
"rail_66885","rail_66885"
"rail_60784","rail_60784"
"rail_70244","rail_70244"
"rail_60047","rail_60047"
"rail_66574","rail_66574"
"rail_59883","rail_59883"
"rail_60317","rail_60317"
"rail_60537","rail_60537"
"rail_60912","rail_60912"
"rail_61086","rail_61086"
"rail_61276","rail_61276"
"rail_61650","rail_61650"
"rail_61946","rail_61946"
"rail_62181","rail_62181"
"rail_62217","rail_62217"
"rail_62501","rail_62501"
"rail_62622","rail_62622"
"rail_62665","rail_62665"
"rail_63238","rail_63238"
"rail_63607","rail_63607"
"rail_64390","rail_64390"
"rail_64608","rail_64608"
"rail_64713","rail_64713"
"rail_64921","rail_64921"
"rail_65241","rail_65241"
"rail_65434","rail_65434"
"rail_65783","rail_65783"
"rail_65875","rail_65875"
"rail_68491","rail_68491"
"rail_69577","rail_69577"
"rail_69903","rail_69903"
"rail_70027","rail_70027"
"rail_70270","rail_70270"
"rail_70452","rail_70452"
"rail_59932","rail_59932"
"rail_64322","rail_64322"
"rail_65828","rail_65828"
"rail_67198","rail_67198"
"rail_68017","rail_68017"
"rail_68167","rail_68167"
"rail_68627","rail_68627"
"rail_62458","rail_62458"
"rail_59991","rail_59991"
"rail_60333","rail_60333"
"rail_61639","rail_61639"
"rail_62997","rail_62997"
"rail_63184","rail_63184"
"rail_63722","rail_63722"
"rail_64126","rail_64126"
"rail_64782","rail_64782"
"rail_66366","rail_66366"
"rail_66811","rail_66811"
"rail_66884","rail_66884"
"rail_66955","rail_66955"
"rail_67281","rail_67281"
"rail_68713","rail_68713"
"rail_69062","rail_69062"
"rail_67426","rail_67426"
"rail_62863","rail_62863"
"rail_64547","rail_64547"
"rail_60303","rail_60303"
"rail_60377","rail_60377"
"rail_60862","rail_60862"
"rail_61003","rail_61003"
"rail_61944","rail_61944"
"rail_62796","rail_62796"
"rail_63342","rail_63342"
"rail_64310","rail_64310"
"rail_65314","rail_65314"
"rail_65515","rail_65515"
"rail_65725","rail_65725"
"rail_66289","rail_66289"
"rail_68147","rail_68147"
"rail_68461","rail_68461"
"rail_68642","rail_68642"
"rail_69296","rail_69296"
"rail_70844","rail_70844"
"rail_71053","rail_71053"
"rail_60022","rail_60022"
"rail_60777","rail_60777"
"rail_64058","rail_64058"
"rail_70811","rail_70811"
"rail_69510","rail_69510"
"rail_680011","rail_68001"
"rail_60268","rail_60268"
"rail_60278","rail_60278"
"rail_61528","rail_61528"
"rail_633031","rail_63303"
"rail_65268","rail_65268"
"rail_65491","rail_65491"
"rail_69726","rail_69726"
"rail_70528","rail_70528"
"rail_70699","rail_70699"
"rail_59785","rail_59785"
"rail_599911","rail_59991"
"rail_63645","rail_63645"
"rail_63749","rail_63749"
"rail_64240","rail_64240"
"rail_64692","rail_64692"
"rail_64779","rail_64779"
"rail_65061","rail_65061"
"rail_65188","rail_65188"
"rail_67356","rail_67356"
"rail_68811","rail_68811"
"rail_69735","rail_69735"
"rail_70128","rail_70128"
"rail_60940","rail_60940"
"rail_62559","rail_62559"
"rail_63892","rail_63892"
"rail_67384","rail_67384"
"rail_69544","rail_69544"
"rail_70351","rail_70351"
"rail_71001","rail_71001"
"rail_60240","rail_60240"
"rail_65947","rail_65947"
"rail_70114","rail_70114"
"rail_63548","rail_63548"
"rail_64072","rail_64072"
"rail_66229","rail_66229"
"rail_68767","rail_68767"
"rail_69727","rail_69727"
"rail_70192","rail_70192"
"rail_70299","rail_70299"
"rail_70951","rail_70951"
