"","Significant"
"rail_67977","rail_67977"
"rail_69398","rail_69398"
"rail_59960","rail_59960"
"rail_62465","rail_62465"
"rail_63024","rail_63024"
"rail_63722","rail_63722"
"rail_64632","rail_64632"
"rail_67326","rail_67326"
"rail_68800","rail_68800"
"rail_68983","rail_68983"
"rail_69581","rail_69581"
"rail_71047","rail_71047"
"rail_64908","rail_64908"
"rail_65005","rail_65005"
"rail_62775","rail_62775"
"rail_66005","rail_66005"
"rail_68414","rail_68414"
"rail_60244","rail_60244"
"rail_60745","rail_60745"
"rail_61428","rail_61428"
"rail_65490","rail_65490"
"rail_68667","rail_68667"
"rail_70804","rail_70804"
"rail_59933","rail_59933"
"rail_60073","rail_60073"
"rail_60698","rail_60698"
"rail_61064","rail_61064"
"rail_62058","rail_62058"
"rail_62496","rail_62496"
"rail_62962","rail_62962"
"rail_63637","rail_63637"
"rail_63843","rail_63843"
"rail_64320","rail_64320"
"rail_64350","rail_64350"
"rail_64460","rail_64460"
"rail_67969","rail_67969"
"rail_68748","rail_68748"
"rail_69598","rail_69598"
"rail_61326","rail_61326"
"rail_61411","rail_61411"
"rail_61967","rail_61967"
"rail_62467","rail_62467"
"rail_63028","rail_63028"
"rail_64126","rail_64126"
"rail_65489","rail_65489"
"rail_68064","rail_68064"
"rail_68469","rail_68469"
"rail_68713","rail_68713"
"rail_69693","rail_69693"
"rail_61568","rail_61568"
"rail_63206","rail_63206"
"rail_63245","rail_63245"
"rail_65847","rail_65847"
"rail_66514","rail_66514"
"rail_67328","rail_67328"
"rail_67411","rail_67411"
"rail_67729","rail_67729"
"rail_69478","rail_69478"
"rail_62258","rail_62258"
"rail_62786","rail_62786"
"rail_63106","rail_63106"
"rail_66284","rail_66284"
"rail_66985","rail_66985"
"rail_60428","rail_60428"
"rail_61530","rail_61530"
"rail_61564","rail_61564"
"rail_61880","rail_61880"
"rail_62257","rail_62257"
"rail_62810","rail_62810"
"rail_64519","rail_64519"
"rail_65444","rail_65444"
"rail_66272","rail_66272"
"rail_68513","rail_68513"
"rail_68632","rail_68632"
"rail_69813","rail_69813"
"rail_61751","rail_61751"
"rail_63744","rail_63744"
"rail_66439","rail_66439"
