"","Significant"
"rail_64304","rail_64304"
"rail_64890","rail_64890"
"rail_68126","rail_68126"
"rail_62640","rail_62640"
"rail_66285","rail_66285"
"rail_69419","rail_69419"
"rail_71088","rail_71088"
"rail_62295","rail_62295"
"rail_67165","rail_67165"
"rail_60339","rail_60339"
"rail_66988","rail_66988"
"rail_63107","rail_63107"
"rail_60479","rail_60479"
"rail_61819","rail_61819"
"rail_61904","rail_61904"
"rail_63038","rail_63038"
"rail_63840","rail_63840"
"rail_64131","rail_64131"
"rail_66328","rail_66328"
"rail_66396","rail_66396"
"rail_67492","rail_67492"
"rail_64660","rail_64660"
"rail_68969","rail_68969"
"rail_70475","rail_70475"
"rail_64534","rail_64534"
"rail_68213","rail_68213"
"rail_69140","rail_69140"
"rail_69906","rail_69906"
"rail_70294","rail_70294"
"rail_70948","rail_70948"
"rail_68000","rail_68000"
"rail_64673","rail_64673"
"rail_66596","rail_66596"
"rail_71035","rail_71035"
"rail_67840","rail_67840"
"rail_68385","rail_68385"
"rail_68559","rail_68559"
"rail_60033","rail_60033"
"rail_60055","rail_60055"
"rail_62838","rail_62838"
"rail_62846","rail_62846"
"rail_63457","rail_63457"
"rail_63711","rail_63711"
"rail_64720","rail_64720"
"rail_64733","rail_64733"
"rail_64805","rail_64805"
"rail_65331","rail_65331"
"rail_65372","rail_65372"
"rail_65608","rail_65608"
"rail_66661","rail_66661"
"rail_67878","rail_67878"
"rail_68431","rail_68431"
"rail_68450","rail_68450"
"rail_68494","rail_68494"
"rail_70079","rail_70079"
"rail_60324","rail_60324"
"rail_60409","rail_60409"
"rail_61668","rail_61668"
"rail_65346","rail_65346"
"rail_67747","rail_67747"
"rail_69506","rail_69506"
"rail_69949","rail_69949"
"rail_60414","rail_60414"
"rail_68555","rail_68555"
"rail_65971","rail_65971"
"rail_69598","rail_69598"
"rail_60674","rail_60674"
"rail_60450","rail_60450"
"rail_64227","rail_64227"
"rail_60987","rail_60987"
"rail_67148","rail_67148"
"rail_63444","rail_63444"
"rail_67023","rail_67023"
"rail_60642","rail_60642"
"rail_68310","rail_68310"
"rail_69938","rail_69938"
